sektor,kelurahan,kecamatan,wilayah_kota,alamat,latitude,longitude,Keterangan
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Depan Pasar Taman Puring, Jl. Kyai Maja",-6.240937,106.789006,
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Sebrang SMA 70, Jl. Bulungan",-6.241397,106.796077,Tertutup Warung
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Depan Toko Kong Wan Pangkalan Bajaj, Jl. Kyai Maja",-6.24192,106.791079,Rehab  Th. 2009
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Depan SPBU, Jl. Gandaria",-6.244032 ,106.788138,Tutup As Tidak Ada
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Jl. Barito I, Jl. S. Sambas I",-6.24826,106.795287,As Macet
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Dekat Pusat Dakwah Aisyiyah, Jl. Gandaria I",-6.247732,106.789956,Rehab Tahun 2009
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Depan Kuburan Dekat Jl. Radio I, Jl. Gandaria Tengah",-6.246535 ,106.792286,
II,Petogogan,Kebayoran Baru,Jakarta Selatan,"Sebrang Kantor Walikota, Jl. Prapanca Raya",-6.247928,106.806988,Rehab Tahun 2013
II,Petogogan,Kebayoran Baru,Jakarta Selatan,"Depan Restorant Reret, Jl. Wijaya",-6.244669,106.808751,
II,Petogogan,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 34, Jl. Prapanca Raya",-6.25477,106.80802,
II,Petogogan,Kebayoran Baru,Jakarta Selatan,"Depan Grand Wijaya Center, Jl. Wijaya II",-6.252747,106.799547,
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Dekat Jl. Hang Likier, Jl. Pakubuwono VI",-6.233329,106.794262,
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 9, Jl. Pakubuwono VI",-6.233032,106.796681,Mangkok Hilang 2 Buah
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Jl. Pakubuwono Hook, Jl. Bumi",-6.236052,106.78955,
II,Gunung,Kebayoran Baru,Jakarta Selatan,Jl. Hangtuah Raya,-6.231363,106.797543,
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Jl. Pakubuwono VI, Velbak",-6.239281 ,106.786488,
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Dekat Lapangan Tenis, Jl. Sinabung II",-6.231874,106.791821,
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Jl. Pati Unus, Jl. Hang Jebat prapatan",-6.236779,106.79612,Rehab  Th. 2013
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Jl. Martimbang II, Di Dalam Taman",-6.233690 ,106.792528,BolaBola Tidak Ada
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Sebrang Pasar Mayestik, Jl. Tebah",-6.239166,106.791277,Meter Ketutup Cor Semen
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 5, Sebrang RS. Pertamina, Jl. Kyai Maja",-6.240066,106.793925,Rehab  Th. 2013
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 14, Jl. Lauser",-6.236817 ,106.792298,Rehab  Th. 2013
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Kementrian Kesehatan, Jl. Hang Jebat Raya No. 9",-6.236748,106.794736,2 As Depan Tidak Ada
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Samping PLN Pusat, Jl. Adityawarman",-6.239941,106.803533,
II,Gunung,Kebayoran Baru,Jakarta Selatan,"Depan Rmh No. 18, Ujung Hang Lekir XII, Jl. Hang Lekir",-6.232652 ,106.796141,
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Dekat Pasar Burung, Jl. Barito Raya",-6.242078 ,106.792945,Rehab  Th. 2013
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Taman Ayodya, Jl. Barito Raya Bunderan I",-6.245248,106.793958,Rehab  Th. 2013
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Depan Apartement Senopati, Jl. Senopati",-6.229295,106.801854,Rehab  Th. 2013
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 38, Jl. Senopati",-6.230480 ,106.807237,As Macet. BolaBola Tidak Ada
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Jl. Senopati, Jl. Bangkeng",-6.229755,106.805145,BolaBola Tidak Ada
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 68, Jl. Senopati",-6.232177,106.810758,BolaBola Tidak Ada
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 66, Jl. Kertanegara",-6.233518,106.811579,"BolaBola Hlg, Tertutup Tanah"
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 34, Jl. Kertanegara",-6.235582,106.804887,
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 22, Jl. Kertanegara",-6.235571,106.803586,Tutup Meteran Hilang
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Jl. Prof. Sutono Hook, Jl. Cipaku VI",-6.243606,106.808089,BolaBola Tidak Ada
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Pom Bensin, Jl. Bakti",-6.23302,106.813082,
II,Rawa Barat,Kebayoran Baru,Jakarta Selatan,"Yoseni Hotel, Jl. Senayan",-6.234588,106.815449,
II,Selong,Kebayoran Baru,Jakarta Selatan,"Samping Mabes Polri, Jl. Sanjaya I",-6.238103,106.802608,
II,Selong,Kebayoran Baru,Jakarta Selatan,"Depan Dirjen PU, Jl. Raden Patah",-6.236739,106.799721,
II,Selong,Kebayoran Baru,Jakarta Selatan,"Dekat SPBU, Jl. Mataram",-6.232886,106.801544,
II,Senayan,Kebayoran Baru,Jakarta Selatan,"Dekat Samsat, Jl. Gatot Subroto",-6.222684,106.814323,"As Macet,Bola Bola Macet"
II,Senayan,Kebayoran Baru,Jakarta Selatan,"Komplek Menteri, Jl. Widya Candra ",-6.229001,106.814631,
II,Senayan,Kebayoran Baru,Jakarta Selatan,"Depan Graha Niaga Tower, Jl. Jendral Sudirman",-6.224675,106.805491,
II,Senayan,Kebayoran Baru,Jakarta Selatan,"Samping Pintu Masuk Polda, Jl. Jendral Sudirman",-6.221082,106.810622,
II,Gandaria Selatan,Kebayoran Baru,Jakarta Selatan,"Petigaan Depan Rumah No. 48, Jl. Hidup Baru III",-6.262485,106.793629,
II,Gandaria Selatan,Kebayoran Baru,Jakarta Selatan,"Depan Dinas Sosial, Jl. Marga Guna",-6.26348,106.788014,Rehab  Th. 2013
II,Gandaria Selatan,Kebayoran Baru,Jakarta Selatan,"Depan Puskesmas Kecamatan Kebayoran Baru, Jl. Iskandarsyah Raya",-6.247113,106.805668,
II,Gandaria Selatan,Kebayoran Baru,Jakarta Selatan,"Dekat Jl. Madrasah/Masjid, Jl. RS. Fatmawati",-6.26779,106.797228,
II,Gandaria Selatan,Kebayoran Baru,Jakarta Selatan,"Depan Gedung ACC, Jl. RS. Fatmawati",-6.274653,106.797632,
II,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,"Pasar Blok A, Jl. RS. Fatmawati ",-6.255897 ,106.796999,Fisik Hidran Di Palyja
II,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,"KRI Srigala, Jl. Radio Dalam",-6.253947,106.790992,Rehab  Th. 2009
II,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,"Depan Bengkel Rajawali, Jl. Radio Dalam",-6.256633,106.789976,
II,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,"Depan SD Petogogan, Jl. Petogogan",-6.252661,106.795007,"As Dol, Ketutup Warung"
II,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 8, Jl. H. Nawi",-6.264326,106.794222,
II,Gandaria Utara,Kebayoran Baru,Jakarta Selatan,"Depan Car Wash HRA Sebrang Rumah No. 18, Jl. H. Nawi",-6.263944,106.791827,As Macet
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,Jl. Darmawangsa X,-6.257494,106.801688,Ketutup Warung
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 28, Jl. Damai Raya Ujung",-6.259942,106.802211,
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"Depan Bengkel, Jl. H.Nawi",-6.264326,106.794222,
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"Depan Toko Material, Jl. H.Nawi",-6.264227,106.793791,
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"Depan SDN 01-03 Cipete Utara, Jl. Abdul Masjid",-6.265755,106.797897,
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"Dekat Pasar Cipete, Jl. Damai",-6.260174,106.796806,Hilang Tahun 2009
II,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"Depan Rumah No. 26 A, Jl. Abdul Masjid",-6.266884,106.803046,
II,Pulo,Kebayoran Baru,Jakarta Selatan,"Depan Bima Sena, Jl. Darma Wangsa Raya",-6.250128,106.807474,
II,Pulo,Kebayoran Baru,Jakarta Selatan,"Dekat Kantor Kelurahan Pulo, Jl. Prapanca Raya",-6.250764,106.809653,
III,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,Jl. Kapten Tendean Putaran,-6.240243,106.826058,
III,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,Jl. Mampang Prapatan VIII No. 6,-6.247816,106.831666,"As Macet, Tutup Meteran Hilang"
III,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,"Depan Wisma Semar, Jl. Mampang Prapatan",-6.251176,106.826828,"Bola Macet, Tutup Meteran Hilang"
III,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,"Depan PT. Nilam Widuri, Jl. Mampang Prapatan",-6.254714,106.827492,
III,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,"Depan Giant, Jl. Mampang Prapatan",-6.241733,106.825746,
III,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,"Sebrang Showrom Toyota, Jl. Mampang Prapatan",-6.250178,106.826643,
III,Bangka,Mampang Prapatan,Jakarta Selatan,"Dekat Pom Bensin Kemang, Jl. Kemang Raya",-6.267467,106.81571,BolaBola Tidak Ada
III,Bangka,Mampang Prapatan,Jakarta Selatan,"Kemang AL, Jl. Kemang I",-6.256704,106.81269,
III,Bangka,Mampang Prapatan,Jakarta Selatan,"Depan Rumah No. 58, Jl. Kemang Utara",-6.257137,106.817475,
III,Bangka,Mampang Prapatan,Jakarta Selatan,"Jl. Kemang Selatan Hook, Jl. Kemang Selatan XI",-6.273688,106.818541,As Dan BolaBola Macet
III,Bangka,Mampang Prapatan,Jakarta Selatan,"Depan Masjid Al Barkah, Jl. Kemang Utara",-6.258069,106.822874,
III,Pela Mampang,Mampang Prapatan,Jakarta Selatan,"Komplek Polri, Jl. Pondok Karya ",-,-,
III,Pela Mampang,Mampang Prapatan,Jakarta Selatan,"Dekat Gedung AKA, Jl. Bangka I",-,-,
III,Pela Mampang,Mampang Prapatan,Jakarta Selatan,"Gelanggang Remaja Mampang Prapatan, Jl. Pondok Jaya I",-,-,
III,Pela Mampang,Mampang Prapatan,Jakarta Selatan,"Depan Bengkel Mitsubishi Sebrang BRI, Jl. Mampang Prapatan",-6.242984,106.82571,
IV,Bintaro,Pesanggrahan,Jakarta Selatan,"Jl. Veteran Hook. IKPN, Bintaro",-6.259947,106.76784,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Dekat The Best, Jl. Cipete Raya",-6.276997,106.797603,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Jl. RA. Karini, Banjarsari IX Cilandak ",-6.290497,106.795,"BolaBola Rusak, As Macet"
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Depan Apotek Gaharu, Jl. Gaharu",-6.279294,106.80797,As Macet
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Depan Rumah No. 61, Jl. Gaharu",-6.279327,106.808842,Terdesak Pohon Asem
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Dekat Wisma Subud, Jl. RS. Fatmawati",-6.286118,106.795734,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Depan Mesjid Hidayah, Jl. RS. Fatmawati",-6.272327,106.797203,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"RS. Fatmawati, Jl. Tb. Simatupang Utara",-6.292632,106.79566,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Depan Rumah No. 52, Jl. Terogong Raya",-6.282517,106.792305,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Pojok Showroom FORD, Jl. RA.Kartini",-6.292489,106.792117,
V,Cilandak Barat,Cilandak,Jakarta Selatan,"Depan Cilandak Town Square, Jl. TB. Simatupang",-6.292038,106.79905,As Macet
V,Cipete Selatan,Cilandak,Jakarta Selatan,"Depan Rumah No. 39, Jl. Abdul Majid",-6.266884,106.803046,
V,Cipete Selatan,Cilandak,Jakarta Selatan,"Depan Kemang Vilage, Jl. P. Antasari",-6.259074,106.808136,
V,Cipete Selatan,Cilandak,Jakarta Selatan,Jl. Asem II Ujung,-6.274388,106.803999,
V,Cipete Selatan,Cilandak,Jakarta Selatan,"Dekat Sekolahan Prancis, Jl. Asem II",-6.272113,106.800679,Meteran Tertutup Gerobak
V,Cipete Selatan,Cilandak,Jakarta Selatan,"Depan Rumah No. 9, Jl. Cipete Raya",-6.277198,106.798117,As Macet
V,Cipete Selatan,Cilandak,Jakarta Selatan,"Depan Restoran Cianjur, Jl. Cipete Raya",-6.278139,106.80725,As Macet
V,Cipete Selatan,Cilandak,Jakarta Selatan,Jl. Cipete Utara / Jl. P. Antasari,-6.266884,106.803046,
